#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
1,Drawblogs @UCkuPobJMx7DPUdwlVo1TFfA,14.5M,-,Peru,,4.4M,Drawblogs,14200000,1634509056,335
2,Golemcito Games @UC6Ij1c74Gm-TicYZsKL1FAw,10.9M,-,Peru,,3.3M,Golemcito Games,12000000,1344326352,827
3,América tv - Novels @UCGGry4kGWZUqIfG6LLNhOmg,5.7M,-,Peru,,1.7M,América Televisión,8330000,7350087002,74177
4,Luay @UCWjgg6SMQiSQY8cUjCm2skg,5.6M,-,Peru,,1.7M,Luay,5620000,867366111,2276
5,whatthechic @UC7ws6SJL00PEUYEk3txx2Ng,5.4M,-,Peru,,1.6M,whatthechic,5310000,553186290,1062
6,Latina.pe @UC3rDtLrcgr3JS3_3JOW4BAw,4.9M,-,Peru,,1.5M,Latina Televisión,5760000,944565847,28344
7,whatdafaqshow @UCtJkNv0rghEOOiz87xT4C5A,4.9M,0.1%,Peru,,1.5M,whatdafaqshow,4860000,706074791,1071
8,Memes Random @UCAAY6ZLN2CBRXvL-0eEmD2A,4.6M,-,Peru,,1.4M,Memes Random,4790000,1430720937,724
9,TrapUrbanoTV @UCuan9ktW5YOp-QiYVZhj64w,3.9M,-,Peru,,1.2M,TrapUrbanoTV,3900000,99786832,131
10,RoxiCake Gamer @UC3t7_hgqy-7pccSWRVaTQIw,3.6M,2.6%,Peru,,1.1M,RoxiCake Gamer,16700000,5832381845,1013
11,ElioDt @UCKN-UFOynT8nJp2SXpU9Xgg,3.5M,-,Peru,,1.1M,ElioDt,3640000,909820268,705
12,Ricardotaku @UCADPsQ4gT36DgXDB2_-wdeA,3.3M,1.9%,Peru,,996K,Ricardotaku,3230000,353638245,209
13,Al Fondo hay Sitio - AFHS @UCRFUzVEen4SIFW1pJn0u0nw,3.1M,-,Peru,,942K,Al Fondo hay Sitio - AFHS,4790000,9762168473,22263
14,Nerdaily @UC5j869htDIpIv9zNW3jK0Jw,3M,-,Peru,,912K,Nerdaily,3910000,855109470,281
15,Sant @UCz7SWZVdyNbB3YGe64AEeuw,3M,0.1%,Peru,,885K,Sant,3420000,876664867,2412
16,tallermanualperu @UCAs3uELe9BMFvJCd0WP-AQg,2.8M,-,Peru,Fashion,834K,tallermanualperu,3450000,532541407,2100
17,EducaBabyTV @UCNi33ipfYhXpSm9sLwyzS8A,2.7M,-,Peru,,810K,EducaBabyTV,3220000,1755911541,122
18,HBD - Detodoy Rap @UCtCuk2evpLat7Y-Hx6HCDqQ,2.6M,0.1%,Peru,,765K,HBD - Detodoy Rap,2810000,436987267,871
19,Harrix @UCUOvQWNdOMJnJzz4fZXLkyA,2.4M,0.2%,Peru,,720K,Harrix,5540000,800894294,2198
20,Capitan Gato @UCGrB-QOL8gg7ouOJ80hO7Sg,2.4M,6.5%,Peru,,720K,CapitanGato,3030000,311505910,205
21,AlecchiMan @UCtRQid0s3Tj1lVB5tbGOb6A,2.3M,0.9%,Peru,,702K,AlecchiMan,3190000,762265417,227
22,Di EQUISDE @UCKk30EIpXiAyVn6WfwVQF6w,2.3M,-,Peru,,693K,Di EQUISDE,2420000,376359034,1368
23,ANIMEMES @UCJWkJWw61WCjVetdQLsFN-w,2.3M,-,Peru,,690K,ANIMEMES,2160000,550075972,950
24,Pepe El Mago @UCqBAbqbx4q7G5upsptccdPA,2.3M,0.7%,Peru,,687K,Pepe El Mago,2830000,704221321,563
25,Andynsaane @UCF2BD7I7BBphXgCpMBrVL0g,2.3M,-,Peru,,675K,Andynsaane,2190000,252665629,319
26,Faraón Love Shady @UCd93aZEa_hA9aj51OOm45sw,2.2M,15.4%,Peru,,666K,Faraón Love Shady,2430000,376888130,22
27,Ramix @UCEpkEj45RHLAI-9ra6qluIA,2.1M,-,Peru,,642K,Ramix,4870000,2209018214,978
28,Flutter525 @UChU79FLnClqlRSTSZe3EjNA,2M,-,Peru,Celebrity,615K,Flutter525,2300000,2050050566,1423
29,Wadatops @UCNDmFX0pZJJf54g8a_g0Hyg,2M,0.1%,Peru,,612K,Wadatops,2070000,434660410,156
30,Indie Arts Kenel @UCw6LEqOUioR-Nqq1gTpOIAQ,2M,-,Peru,,606K,Indie Arts Kenel,2100000,462972410,947
31,Paula Urbaez @UCw0fg0BqrR5kcDUOcD7Hh5A,2M,-,Peru,,597K,Paula Urbaez,7370000,4089751633,1200
